Frequency (Hz)	Z (Ω)	-Phase (°)	Z' (Ω)	-Z'' (Ω)	Column 6
1000000	26.1041467894831	36.0047493685879	21.1174264375817	15.3453830274844	-0.75
630960	34.6885944128047	50.0375979765333	22.2799564552254	26.5876310093496	
398110	49.0231363076666	60.1450352346548	24.4040208843918	42.5171925003784	
251190	71.395489291806	67.0054901376701	27.8901426273688	65.7225671701997	
158490	105.67127544895	71.7220753906346	33.1413260269143	100.339777576919	
100000	157.117667117112	75.1962836274979	40.1448944840433	151.9024317356	
63096	235.157941878292	78.1196549387808	48.4116132808015	230.120779870016	
39811	356.114739849447	80.7362900809155	57.3268995084268	351.470247006471	
25119	545.704503222264	83.4581697961481	62.1713311256111	542.151390686335	
15849	846.898733520866	85.089666030454	72.491672773899	843.790508489926	
10000	1322.70076814781	86.2774430025141	85.8765808404445	1319.91004804189	
6309.6	2073.93363569158	87.110627649788	104.542202274739	2071.29709438227	
3981.1	3257.01816238903	87.6748041899017	132.141083865561	3254.3364982876	
2511.9	5105.82419473536	88.0959223432358	169.647685825191	5103.00503333469	
1584.9	8058.34035719226	88.3585916349694	230.823600016818	8055.03381606984	
1000	12681.7084879032	88.5510886604613	320.664332133626	12677.6537481607	
630.96	19970.7530380361	88.6861811423688	457.898520266206	19965.5028950278	
398.11	31463.690601584	88.7950947725455	661.618907581582	31456.7335668111	
251.19	49594.0259311154	88.876263505362	972.620399832772	49584.4876711858	
158.49	78346.0009873339	88.9478787238691	1438.58522900976	78332.7922599865	
100	123650.035951968	88.9783752722807	2204.6517510421	123630.38017243	
63.096	195093.26321669	88.9485833683024	3579.89351219431	195060.415551127	
39.811	307579.511386737	88.8179383259876	6345.18221030081	307514.055756191	
25.119	485625.273588803	88.7146233400376	10893.6301978965	485503.074314994	
15.849	766045.541567099	88.565242727603	19180.724273134	765805.374472645	
10	1207510.77368412	88.1182083562184	39651.7022545375	1206859.5655964	
Frequency (Hz)	Z (Ω)	-Phase (°)	Z' (Ω)	-Z'' (Ω)	Column 6
1000000	26.0537712263797	35.9608760601098	21.0883958259751	15.2996260282246	-0.5
